stringency_index,new_deaths,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,day,month,year,new_cases_classes
26.85,1.0,-3.571,0.286,2.286,-2.286,0.714,-5.429,3,11,2020,0.0
26.85,0.0,-3.857,0.0,2.286,-2.571,0.571,-6.143,3,12,2020,0.0
33.33,1.0,-4.429,-0.143,2.286,-3.286,0.571,-6.857,13,3,2020,0.0
36.11,0.0,-6.0,-1.429,2.857,-5.143,-0.571,-8.714,14,3,2020,0.0
38.89,0.0,-7.857,-2.857,3.286,-6.571,-1.714,-9.286,15,3,2020,0.0
48.15,0.0,-8.857,-3.429,3.286,-6.571,-2.429,-8.143,16,3,2020,0.0
48.15,1.0,-7.714,-0.143,2.143,-4.714,-2.143,-3.0,17,3,2020,0.0
50.0,0.0,-8.714,0.143,2.571,-6.0,-2.714,-3.429,18,3,2020,0.0
59.72,1.0,-10.571,0.143,3.286,-8.0,-4.0,-5.0,19,3,2020,0.0
70.83,1.0,-13.0,0.143,4.143,-10.286,-5.857,-7.143,20,3,2020,0.0
76.39,-1.0,-16.286,0.0,4.714,-12.714,-8.286,-8.857,21,3,2020,0.0
100.0,3.0,-25.857,-10.714,7.286,-21.714,-15.714,-16.143,22,3,2020,0.0
86.57,3.0,-32.429,-14.857,9.714,-28.286,-20.571,-22.714,23,3,2020,0.0
86.57,0.0,-40.571,-21.714,12.857,-36.143,-26.571,-30.857,24,3,2020,0.0
100.0,2.0,-49.857,-31.0,16.571,-45.143,-33.286,-40.0,25,3,2020,0.0
100.0,8.0,-58.429,-40.286,20.143,-53.571,-39.571,-48.429,26,3,2020,0.0
100.0,0.0,-66.286,-49.571,23.571,-61.429,-45.143,-56.286,27,3,2020,0.0
100.0,4.0,-72.571,-58.286,26.571,-68.286,-49.571,-63.143,28,3,2020,0.0
100.0,3.0,-72.429,-56.714,26.714,-68.429,-49.429,-62.857,29,3,2020,0.0
100.0,5.0,-75.571,-61.857,28.143,-71.571,-51.714,-65.429,30,3,2020,0.0
100.0,3.0,-76.571,-64.0,28.714,-72.857,-52.571,-65.857,31,3,2020,0.0
100.0,23.0,-76.429,-64.0,28.571,-72.857,-52.429,-65.286,4,1,2020,0.0
100.0,14.0,-76.429,-64.143,28.571,-73.0,-52.429,-65.143,4,2,2020,0.0
100.0,0.0,-76.286,-63.857,28.429,-73.0,-52.286,-64.714,4,3,2020,0.0
100.0,14.0,-76.143,-63.714,28.286,-73.0,-52.143,-64.0,4,4,2020,0.0
100.0,13.0,-76.143,-63.714,28.143,-73.0,-52.0,-63.429,4,5,2020,0.0
100.0,37.0,-76.143,-63.714,28.143,-72.857,-51.857,-63.429,4,6,2020,1.0
100.0,14.0,-76.571,-62.286,28.0,-72.0,-51.286,-63.286,4,7,2020,0.0
100.0,28.0,-76.857,-60.571,28.0,-71.286,-50.714,-63.143,4,8,2020,0.0
100.0,48.0,-77.143,-59.0,28.0,-70.429,-50.286,-63.0,4,9,2020,0.0
100.0,20.0,-77.571,-57.714,28.286,-69.857,-49.857,-63.286,4,10,2020,0.0
100.0,42.0,-78.0,-56.429,28.571,-69.286,-49.714,-63.714,4,11,2020,0.0
100.0,43.0,-78.286,-55.143,28.714,-68.714,-49.429,-63.857,4,12,2020,0.0
100.0,27.0,-78.571,-53.714,28.857,-68.143,-49.143,-63.571,13,4,2020,1.0
100.0,35.0,-78.571,-54.0,29.143,-68.429,-49.286,-63.857,14,4,2020,1.0
100.0,12.0,-78.571,-53.857,29.143,-68.143,-49.286,-63.429,15,4,2020,0.0
100.0,43.0,-79.571,-52.429,29.143,-67.714,-51.0,-63.0,16,4,2020,1.0
100.0,38.0,-80.429,-51.0,29.0,-67.143,-52.714,-62.429,17,4,2020,0.0
100.0,35.0,-81.429,-50.286,28.714,-66.857,-54.714,-61.857,18,4,2020,1.0
100.0,38.0,-82.429,-49.429,28.714,-66.571,-56.714,-61.571,19,4,2020,1.0
96.3,33.0,-83.571,-48.571,28.571,-66.286,-58.714,-61.143,20,4,2020,0.0
96.3,53.0,-84.571,-47.429,28.429,-65.857,-60.857,-60.429,21,4,2020,1.0
96.3,36.0,-85.714,-46.714,28.429,-65.857,-63.0,-60.286,22,4,2020,1.0
96.3,40.0,-85.857,-47.143,28.429,-66.0,-63.286,-60.143,23,4,2020,1.0
96.3,59.0,-85.857,-47.286,28.286,-66.143,-63.714,-59.857,24,4,2020,1.0
96.3,45.0,-85.714,-46.714,28.429,-66.0,-63.571,-59.714,25,4,2020,1.0
96.3,56.0,-85.714,-46.857,28.429,-66.143,-63.571,-59.571,26,4,2020,1.0
96.3,58.0,-85.571,-46.857,28.571,-66.143,-63.571,-59.429,27,4,2020,1.0
96.3,69.0,-85.571,-46.714,28.429,-66.143,-63.429,-59.286,28,4,2020,1.0
96.3,71.0,-85.429,-46.429,28.429,-65.857,-63.286,-59.0,29,4,2020,1.0
96.3,75.0,-85.143,-45.857,28.286,-65.571,-63.0,-58.571,30,4,2020,1.0
96.3,69.0,-85.143,-45.714,28.286,-65.429,-62.857,-58.714,5,1,2020,2.0
96.3,100.0,-85.0,-45.429,28.0,-65.143,-62.714,-58.0,5,2,2020,2.0
96.3,68.0,-84.857,-44.714,27.857,-64.714,-62.571,-57.429,5,3,2020,2.0
81.94,175.0,-84.286,-43.0,27.286,-63.857,-62.286,-56.571,5,4,2020,3.0
81.94,127.0,-83.714,-41.429,27.0,-62.857,-62.143,-55.571,5,5,2020,2.0
81.94,92.0,-82.857,-39.429,26.429,-61.714,-61.857,-54.571,5,6,2020,3.0
81.94,104.0,-82.143,-37.714,26.0,-60.714,-61.714,-53.857,5,7,2020,3.0
81.94,96.0,-81.286,-35.571,25.429,-59.429,-61.286,-52.143,5,8,2020,3.0
81.94,116.0,-80.571,-33.857,25.143,-58.429,-61.0,-51.429,5,9,2020,3.0
81.94,111.0,-80.143,-32.857,24.857,-57.714,-60.714,-50.714,5,10,2020,4.0
81.94,82.0,-79.714,-31.857,24.571,-57.0,-60.429,-49.857,5,11,2020,3.0
81.94,121.0,-79.286,-30.857,24.286,-56.429,-60.0,-49.286,5,12,2020,3.0
81.94,136.0,-79.0,-30.286,24.0,-56.0,-59.714,-48.571,13,5,2020,3.0
81.94,98.0,-78.714,-29.714,23.571,-55.571,-59.429,-47.571,14,5,2020,3.0
81.94,104.0,-78.286,-28.857,23.143,-55.0,-59.0,-47.0,15,5,2020,3.0
81.94,118.0,-77.857,-27.857,22.714,-54.286,-58.571,-45.857,16,5,2020,4.0
81.94,154.0,-77.429,-26.857,22.429,-53.714,-58.286,-45.143,17,5,2020,5.0
